date,open,high,low,close,volume,adjclose,sma_10,sma_20,ema_10,ema_20,ticker
2018-01-31,312.0,360.5,305.67999267578125,354.3099975585937,124271500,354.3099975585937,,,,,TSLA
2018-02-28,351.0,359.989990234375,294.760009765625,343.0599975585937,109190000,343.0599975585937,,,,,TSLA
2018-03-31,345.010009765625,348.6700134277344,248.2100067138672,266.1300048828125,157268500,266.1300048828125,,,,,TSLA
2018-04-30,256.260009765625,309.5,244.58999633789065,293.8999938964844,190310800,293.8999938964844,,,,,TSLA
2018-05-31,293.510009765625,312.989990234375,273.4200134277344,284.7300109863281,155578100,284.7300109863281,,,,,TSLA
2018-06-30,285.8599853515625,373.7300109863281,283.8399963378906,342.95001220703125,213425100,342.95001220703125,,,,,TSLA
2018-07-31,360.07000732421875,364.7799987792969,286.1300048828125,298.1400146484375,172328200,298.1400146484375,,,,,TSLA
2018-08-31,297.989990234375,387.4599914550781,288.20001220703125,301.6600036621094,277360200,301.6600036621094,,,,,TSLA
2018-09-30,296.94000244140625,314.9599914550781,252.25,264.7699890136719,196075400,264.7699890136719,,,,,TSLA
2018-10-31,305.7699890136719,347.1600036621094,247.77000427246097,337.32000732421875,286360700,337.32000732421875,308.69700317382814,,313.9011857466264,,TSLA
2018-11-30,338.260009765625,366.75,325.0,350.4800109863281,133019100,350.4800109863281,308.3140045166016,,320.551881244754,,TSLA
2018-12-31,360.0,379.489990234375,294.0899963378906,332.79998779296875,146451200,332.79998779296875,307.2880035400391,,322.77880970806575,,TSLA
2019-01-31,306.1000061035156,352.0,279.2799987792969,307.0199890136719,175652100,307.0199890136719,311.377001953125,,319.91356958181234,,TSLA
2019-02-28,305.4200134277344,324.239990234375,288.7699890136719,319.8800048828125,128550100,319.8800048828125,313.9750030517578,,319.90746690926693,,TSLA
2019-03-31,306.94000244140625,307.1300048828125,254.4600067138672,279.8599853515625,213793500,279.8599853515625,313.4880004882813,,312.62610662604794,,TSLA
2019-04-30,282.6199951171875,296.1700134277344,231.1300048828125,238.69000244140625,230757800,238.69000244140625,303.06199951171874,,299.18317859247674,,TSLA
2019-05-31,238.8500061035156,258.3500061035156,184.1000061035156,185.16000366210932,282598800,185.16000366210932,291.7639984130859,,278.45169224150084,,TSLA
2019-06-30,185.5099945068359,234.7400054931641,176.99000549316406,223.4600067138672,214959300,223.4600067138672,283.9439987182617,,268.4532039637493,,TSLA
2019-07-31,230.2100067138672,266.07000732421875,222.22000122070312,241.6100006103516,199367200,241.6100006103516,281.6279998779297,,263.5726215358588,,TSLA
2019-08-31,242.6499938964844,244.5099945068359,211.0,225.6100006103516,133790600,225.6100006103516,270.45699920654295,289.57700119018557,256.6703268221302,283.48490589686804,TSLA
2019-09-30,224.0800018310547,253.5,218.3600006103516,240.8699951171875,135775300,240.8699951171875,259.4959976196289,283.9050010681152,253.79753923941337,279.42634296546987,TSLA
2019-10-31,241.5,340.8399963378906,224.27999877929688,314.9200134277344,227982600,314.9200134277344,257.70800018310547,282.4980018615723,264.91071636456263,282.8066925333046,TSLA
2019-11-30,316.32000732421875,361.2000122070313,309.260009765625,329.94000244140625,157770800,329.94000244140625,260.00000152587893,285.68850173950193,276.73422292398874,287.2955791912191,TSLA
2019-12-31,329.3999938964844,435.30999755859375,327.25,418.3299865722656,207080000,418.3299865722656,269.8449996948242,291.91000137329104,302.47890722367544,299.77504656084255,TSLA
